Filename,symmetry_index,aspect_ratio,pixel_ratio,Red Min,Red Max,Red Mean,Green Min,Green Max,Green Mean,Blue Min,Blue Max,Blue Mean,Red Median,Red Std Dev,Green Median,Green Std Dev,Blue Median,Blue Std Dev,Blue Entropy,Green Entropy,Red Entropy,Area-Perimeter Ratio,Contour Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
113,66.64550436689797,0.6805591141115924,0.028797333333333335,1,255,56.54503229615224,1,255,46.62780465007256,1,255,42.08346255573413,28.0,58.17161216692459,17.0,53.533163470563885,15.0,50.84805030270703,6.4695096,6.501479,6.924589,163.0967363794856,4225.547459125519,0.7479780997059704,2.4083336760502077,3.720529430922043,4.560548394452993,8.73386479241183,5.7651973674830135,-8.976309852832157
114,66.64550436689797,0.6779169933890145,0.018531333333333334,1,255,59.9264219160341,1,255,48.01828467612829,1,255,41.49588325542263,40.0,50.24056610247846,29.0,43.60346811548293,23.0,41.18359986525607,6.5784264,6.8160686,7.1076074,98.37273667474834,4499.498692035675,0.702398993704315,2.049382043078162,4.269674862658648,4.910692701904439,9.382509494439415,-6.282432622177211,9.897748560417497
115,66.64550436689797,0.6805562057947389,0.014578666666666667,1,255,48.25771177551609,1,255,35.06472809171171,1,255,28.68407675798655,27.0,46.34631385495757,19.0,35.56704647731119,15.0,36.44290499427943,5.9512653,6.2839155,6.73259,124.51268363757038,2799.5260387659073,0.7262490429962007,2.163138016923667,3.1009495922365984,4.2917432991461535,8.449308505551164,5.814746442076798,8.009646468979133
116,66.64550436689797,0.61006801440305,0.028987666666666665,1,255,44.0741008000874,1,255,34.13416546978761,1,255,23.483605160873005,29.0,41.98977782090206,18.0,36.92559199896569,14.0,29.635938111769455,5.8537245,6.3739405,6.775704,157.5457259593769,4402.753522992134,0.7172467942572156,2.048875380054423,3.6240638132521843,5.297041328896579,-9.845062380858188,-6.758309056482454,9.569602050642791
117,66.64550436689797,0.7992748937305637,0.03543516666666666,1,255,79.33265682157845,1,255,63.97193252706032,1,255,44.34587956093315,75.0,55.04209463970868,57.0,49.201628088260875,35.0,37.77769459133865,6.8376727,7.2892056,7.5397844,167.82431776499848,5053.412469029427,0.7470344194585428,2.846080415443527,3.4196721770466056,6.004103102693906,-9.936355138829047,7.508075203501061,-9.954743193154544
118,66.64550436689797,0.8879732085329033,0.037257,1,255,51.80026963202172,1,244,43.7603928726913,1,255,44.17161771753579,30.0,50.030491788653094,19.0,45.573749576652745,19.0,46.87815091744344,6.4428377,6.4093246,6.6748886,160.70165864110967,5573.738364458084,0.7125636846863497,2.388063570325081,3.154678963004175,5.209996726304605,-9.45312446175962,-6.536096719719475,9.379786926327634
119,66.64550436689797,0.8056705647012767,0.015522,6,255,98.86679658978655,4,255,85.03650732293949,1,255,76.41552131429185,95.0,59.26082927106367,76.0,59.95046411253332,62.0,58.26662468343941,7.505043,7.603448,7.7124915,87.47092487742363,4236.459149360657,0.6198540824385375,2.951032026261754,2.07802558511186,3.4731009075251436,-6.4447041856868905,-4.951117402706589,-6.361382124152816
120,66.64550436689797,0.9692517223293212,0.02839925,4,255,92.23340405116332,1,255,68.99856495135802,1,255,50.808396176992396,73.0,69.91322839791547,52.0,54.7893073594909,40.0,42.85760249758821,6.9508886,7.3061004,7.6641283,73.16878168184188,9252.64825296402,0.7312027557852648,3.101730914968328,3.4007494715154936,4.400586765627642,-8.66393320316116,-6.480553638434071,-8.332601981921362
121,66.64550436689797,0.7942443266634922,0.018408125,1,255,52.270211297094804,1,255,40.385222524525005,1,255,38.70356643974091,42.0,40.983325918618725,30.0,33.45577913416639,25.0,37.68652622821997,6.5509562,6.6315126,6.9781857,73.76496941739215,5951.253060460091,0.6979876553251301,2.280155306967479,3.1517208486905077,5.327276828553452,9.651952258291953,-6.735282889184523,-9.466336163918285
122,66.64550436689797,0.5745320038340667,0.027151333333333333,1,255,84.68481250038366,1,255,63.57139261178406,1,255,50.915955685138364,75.0,56.69897109425694,51.0,48.472602453399254,36.0,43.06832012486656,6.987701,7.2609243,7.580812,82.91427962906069,8053.106207847595,0.6216543906749359,2.6467123468013316,2.0989516745079775,2.981827789401963,6.951727143653391,-4.393119862289619,5.522503216613562
